user_id;fake_news_spreader;rn_amounts;fn_amounts;fn_rn_ratio;num_docs;pb_factor;factual_factor;topics
ddf62a134f09db7a6056190d594bd41ff2f4cf04faf5db32406bbec473f46935;1;24;1;0.041666666666666664;317;-0.8260869565217391;1.6666666666666667;[4, 0, 0, 0, 0, 0, 0, 313]
a78d753b103a2a4310ad6d1d49723733a6e4744bbf1beb4d0e484a48fcf73870;0;21;0;0.0;392;-0.9523809523809523;2.0;[0, 0, 0, 0, 0, 0, 0, 392]
19a734ee97b484a1a6c9625a1a3a0b5ddbabde3679ee2c8e25e85dc6017bff59;0;63;0;0.0;3266;-0.5081967213114754;2.015873015873016;[15, 1, 0, 0, 0, 3, 0, 3247]
d57699be1824c59714fb9a799b7b5b670227b07e2bde0064536151f6cf8fd9fd;1;11;1;0.09090909090909091;626;-0.3333333333333333;1.5;[12, 0, 0, 0, 0, 0, 0, 614]
26d0132074c91843483fb0f8b0378083f876d748be172b7f8982511d36771efe;1;12;5;0.4166666666666667;142;-1.0833333333333333;0.5833333333333334;[0, 0, 0, 0, 0, 0, 0, 142]
9905cf47617f7c6a4c38ffa57f5bae048b94fec61a339ce3e07bdbd53db74352;0;4;0;0.0;237;-0.2;2.0;[2, 0, 0, 0, 5, 0, 0, 230]
096846064c66c7a73d5cc7a7341d2ffa637d2e86e21b145df470017b0d4ceec0;1;29;1;0.034482758620689655;544;-0.36666666666666664;1.8;[1, 0, 0, 0, 0, 1, 0, 542]
67ffb77c37ab42f6c413c96155838369325075d672f2e687fb5bd1f07010c2ca;0;4;0;0.0;328;-0.5;1.25;[41, 0, 0, 32, 0, 0, 0, 255]
ddd77aebb4eb4cac21edc339e54c6618493a0cf64310c8faa9df0c178b0161ea;1;24;2;0.08333333333333333;903;-0.375;1.8571428571428572;[0, 0, 0, 0, 0, 0, 0, 903]
1edaed6330d2c832ebeaed54362ee1c22bf0c44bd2a85f6b420ba648a0f62366;0;7;0;0.0;348;-0.5714285714285714;2.0;[10, 0, 0, 0, 0, 0, 0, 338]
010b78ac1ec4284102c6244f2eb932530419ed020017535334c90c15f99e8bc7;0;6;0;0.0;321;-0.8333333333333334;2.0;[0, 0, 0, 0, 0, 0, 0, 321]
0c2eea434fdde4bd88ded090dca13a9fd343535718fc3ca0fcfb3b1f0ea10b5a;0;3;0;0.0;162;-1.0;2.0;[2, 0, 0, 0, 0, 0, 0, 160]
04c2e73f157c82f805c8a398f45bf43eaa6a86b52b34e93e7b208d5087256781;1;44;2;0.045454545454545456;1112;-0.6888888888888889;1.891304347826087;[0, 0, 0, 0, 0, 0, 0, 1112]
f9bacd85103c1b75ac76d44964ecf32214cb33f89886490cd56c37bc28abd935;0;5;0;0.0;253;-1.0;1.8;[0, 0, 0, 0, 0, 0, 0, 253]
